,0
pl_name,eps Ind A b
hostname,eps Ind A
default_flag,1
sy_snum,3
sy_pnum,1
discoverymethod,Radial Velocity
disc_year,2019
disc_facility,La Silla Observatory
soltype,Published Confirmed
pl_controv_flag,0
pl_refname,<a refstr=MATTHEWS_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07837-8 target=ref>Matthews et al. 2024</a>
ttv_flag,0
st_refname,<a refstr=MATTHEWS_ET_AL__2024 href=https://www.nature.com/articles/s41586-024-07837-8 target=ref>Matthews et al. 2024</a>
st_teff,4760.0
st_tefferr1,15.0
st_tefferr2,-15.0
st_tefflim,0.0
st_rad,0.68
st_raderr1,0.0
st_raderr2,0.0
st_radlim,0.0
st_mass,0.76
st_masserr1,0.04
st_masserr2,-0.04
st_masslim,0
sy_refname,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
rastr,22h03m29.14s
ra,330.8714021
decstr,-56d47m48.85s
dec,-56.7969023
sy_dist,3.63857
sy_disterr1,0.00333
sy_disterr2,-0.00333
sy_vmag,4.69
sy_vmagerr1,0.03
sy_vmagerr2,-0.03
sy_kmag,2.237
sy_kmagerr1,0.24
sy_kmagerr2,-0.24
sy_gaiamag,4.34562
sy_gaiamagerr1,0.007374
sy_gaiamagerr2,-0.007374
rowupdate,2024-08-07
pl_pubdate,2024-07
releasedate,2024-08-07
Age,3.5
